year,country_name,gdp,hte,hdi,gr_cap,labor,sec_srv,mob_sub,ter_enr,sci_art,pop,infl,ict_exp,edu_exp,fdi,trade,inet_usr,rnd_exp,p_a,cc,ge,pv,rl,rq,va,foreign_assets,new_business_density,innovation_score,competitiveness_score,ctfp,cwtfp,economic_freedom
2016,Afghanistan,1.32E+12,,0.495,,8883595,12.27644054,62,,60,34700612,-2.197526467,77926450,6E+12,6.82E+11,,381706732,,,-1.540227771,-1.291468024,-2.662156105,-1.522533655,-1.339695096,-1.037836909,5.83E+11,0.135709341,,35.1,,,
2016,Afghanistan,1.32E+12,,0.495,,8883595,12.27644054,62,,60,34700612,-2.197526467,77926450,6E+12,6.82E+11,,381706732,,,-1.540227771,-1.291468024,-2.662156105,-1.522533655,-1.339695096,-1.037836909,5.83E+11,0.135709341,,37.5,,,
2016,Afghanistan,1.32E+12,,0.495,,8883595,12.27644054,62,,60,34700612,-2.197526467,77926450,6E+12,6.82E+11,,381706732,,,-1.540227771,-1.291468024,-2.662156105,-1.522533655,-1.339695096,-1.037836909,5.83E+11,0.135709341,,35.1,,,
2016,Afghanistan,1.32E+12,,0.495,,8883595,12.27644054,62,,60,34700612,-2.197526467,77926450,6E+12,6.82E+11,,381706732,,,-1.540227771,-1.291468024,-2.662156105,-1.522533655,-1.339695096,-1.037836909,5.83E+11,0.135709341,,37.5,,,
2024,Armenia,,877133301,,,1510047,,,,,,,,,,,,,,,,,,,,2.17E+11,,29.01877167,43.77153282,,,64.9
2015,Afghanistan,1.29E+12,,0.496,,8575264,2.187293574,58,,21,33831764,2.447563001,82152250,4.2E+12,1.14E+12,,279450371,,,-1.354713082,-1.397394896,-2.56262517,-1.516200662,-1.018826246,-1.117628098,5.46E+11,0.128967583,,34.5,,,
1965,Afghanistan,,,,,,,,,,10036008,,,,,,,,,,,,,,,1881000000,,,,,,
2014,Afghanistan,1.27E+12,,0.497,,8229616,1.738201114,56,8,35,32792523,0.566944543,115737502,4.69E+12,2.66E+11,,229547661,,,-1.364934087,-1.361646175,-2.411068439,-1.437701941,-1.124133706,-1.135522604,5E+11,0.146761106,,35.4,,,
2024,Australia,,8190032382,,,14911672,,,,,,,,,,,,,,,,,,,,-2.13E+11,,48.096089,53.85837934,,,76.2
2013,Afghanistan,1.24E+12,,0.492,,7857574,1.454651063,53,,27,31622704,4.822785479,137313519,4.28E+12,2.97E+11,,186573954,,,-1.445960641,-1.401462913,-2.519349098,-1.609755158,-1.1930902,-1.240139127,4.72E+11,0.199430395,,38.2,,,
1966,Afghanistan,,,,,,,,,,10266395,,,,,,,,,,,,,,,1641000000,,,,,,
2012,Afghanistan,1.17E+12,,0.484,,7518518,1.243454114,50,,35,30560034,7.301756468,124681457,3.05E+12,3.34E+11,,166552185,,,-1.430372834,-1.375535131,-2.418561459,-1.651893139,-1.192579746,-1.267430067,4.28E+11,0.232685686,,38.2,,,
1967,Afghanistan,,,,,,,,,,10505959,,,,,,,,,,,,,,,1498000000,,,,,,
2011,Afghanistan,1.04E+12,,0.474,,7148944,0.545187379,47,4,42,29347708,16.59334674,209492976,3.6E+12,3.05E+11,,146738540,,,-1.600470781,-1.474100471,-2.502059698,-1.922500134,-1.536323905,-1.335976958,3.38E+11,0.259386789,,,,,
2024,Azerbaijan,,37073081,,,5019885,,,,,,,,,,,,,,,,,,,,26740889737,,21.29579094,38.58483661,,,61.6
2010,Afghanistan,1.03E+12,,0.465,,6822959,0.494977936,36,,28,28284089,3.814630315,191027169,3.58E+12,1.24E+12,,113136356,,,-1.645391107,-1.478315592,-2.579151869,-1.87005806,-1.516528249,-1.404467344,2.48E+11,0.34681412,,,,,
1968,Afghanistan,,,,,,,,,,10756922,,,,,,,,,,,,,,,1077000000,,,,,,
2009,Afghanistan,9.05E+11,,0.458,,6563261,,38,4,26,27466101,-2.163404427,119214755,4.35E+12,4.09E+11,,97504659,,,-1.552298784,-1.50775218,-2.71142149,-1.876118779,-1.664507627,-1.375495195,2.15E+11,0.27591716,,,,,
2024,Bahrain,,,,,913340,,,,,,,,,,,,,,,,,,,,,,27.6425639,36.52150103,,,63.4
2008,Afghanistan,7.45E+11,,0.446,,6273586,,30,,12,26482622,2.09628875,109445928,3.27E+12,3.39E+11,,48728024,,,-1.672095537,-1.527795076,-2.69136095,-1.903307557,-1.607166886,-1.168901801,1.73E+11,,,,,,
1969,Afghanistan,,,,,,,,,,11017409,,,,,,,,,,,,,,,1143092305,,,,,,
2007,Afghanistan,7.17E+11,,0.442,,6089718,,18,,14,25909852,22.5277562,,2.99E+12,1.39E+12,,49228719,,,-1.61325109,-1.440110564,-2.41337347,-1.852560043,-1.708872318,-1.057653904,1.47E+11,,,,,,
2024,Bangladesh,,,,,77355168,,,,,,,,,,,,,,,,,,,,1.78E+12,,19.10711782,40.54835965,,,54.4
2006,Afghanistan,6.3E+11,,0.426,,5937057,,10,,14,25424094,7.199751293,,2.95E+12,2.15E+12,,53644838,,,-1.446292281,-1.473651528,-2.219134569,-1.879004836,-1.689468622,-1.110293984,1.04E+11,,,,,,
2024,Belgium,,,,,5415520,,,,,,,,,,,,,,,,,,,,1.8E+11,,47.73324473,54.68018781,,,65.6
2005,Afghanistan,5.98E+11,,0.417,,5672338,,5,,9,24404567,10.91277355,,,2.61E+12,,29773572,,,-1.447252393,-1.228815675,-2.06750989,-1.662965536,-1.643440247,-1.12542963,,,,,,,
1970,Afghanistan,,,,,,,,1,,11290128,,,,,,,,,,,,,,,1437493461,,,,,,
2004,Afghanistan,5.38E+11,,0.408,,5459292,,3,1,7,23560654,11.27143206,,,1.92E+12,,2497429,,,-1.35064733,-0.945146263,-2.295682192,-1.693925261,-1.511548996,-1.203033924,,,,,,,
2024,Barbados,,,,,147247,,,,,,,,,,,,,,,,,,,,,,26.05419082,43.99985628,,,66.8
2003,Afghanistan,5.3E+11,,0.392,,5259920,,1,1,7,22733049,11.65523822,,,6.78E+11,,1998235,,,-1.344179749,-1.175768018,-2.198372364,-1.5582937,-1.463107824,-1.177571177,,,,,,,
1971,Afghanistan,,,,,,,,1,,11567667,,,,,,,,,,,,,,,2288233403,,,,,,
2002,Afghanistan,4.87E+11,,0.383,,4947614,,0,,6,21378117,6.125522029,,,6.36E+11,,97484,,,-1.251137018,-1.587687016,-2.035033703,-1.673473239,-1.81154573,-1.433421016,,,,,,,
2024,Belarus,,,,,4817451,,,,,,,,,,,,,,,,,,,,,,24.20662164,45.18067697,,,48.4
2001,Afghanistan,3.79E+11,,0.355,,4703525,,,,1,20284307,-11.77453603,,,9159887272,,95742,,,,,,,,,,,,,,,
1972,Afghanistan,,,,,,,,1,,11853696,,,,,,,,,,,,,,,2550475761,,,,,,
2000,Afghanistan,4.18E+11,,0.351,,4685110,,,,4,20130327,,,,2017937218,,,,,-1.271724224,-2.173946142,-2.438968897,-1.780660748,-2.080252647,-2.031417131,,,,,,,
1973,Afghanistan,,,,,,,,1,,12157999,,,,,,,,,,,,,,,3032389756,,,,,,
1999,Afghanistan,,,0.347,,4652787,,,,1,19887785,,,,,,,,,,,,,,,,,,,,,
2024,Benin,,,,,6397139,,,,,,,,,,,,,,,,,,,,1.47E+12,,15.44169345,40.01532003,,,57.7
1998,Afghanistan,,,0.338,,4511052,,,,3,19159996,,,,,,,,,-1.176012278,-2.102291822,-2.427354574,-1.734886765,-2.062872171,-2.039301157,,,,,,,
1974,Afghanistan,,,,,,,,1,,12469127,,,,,,,,,,,,,,,3614573954,,,,,,
1997,Afghanistan,,,0.338,,4374653,,,,,18452091,,,,,,,,,,,,,,,,,,,,,
1975,Afghanistan,,,,,,,,1,,12773954,,,,,,,,,,,,,,,6748051846,,,,,,
1996,Afghanistan,,,0.334,,4241381,,,,0,17763266,,,,,,,,,-1.291704774,-2.175166607,-2.417309523,-1.788075447,-2.090330362,-1.90854013,,,,,,,
1976,Afghanistan,,,,,,,,1,,13059851,,,,,,,,,,,,,,,9582834845,,,,,,
1995,Afghanistan,,,0.329,,4102970,,,,,17065836,,,,,,,,,,,,,,,,,,,,,
2024,Botswana,,,,,1173186,,,,,,,,,,,,,,,,,,,,60665310039,,23.08280061,40.21483877,,,68
2025,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6
1977,Afghanistan,,,,,,,,1,,13340756,,,,,,,,,,,,,,,16667433589,,,,,,
2024,Bulgaria,,,,,3123797,,,,,,,,,,,,,,,,,,,,90339160428,,38.48920665,51.73318291,,,68.5
2023,Albania,1.77E+12,16899736,0.81,4.26E+13,1376643,1220.332909,,65,,2745972,6.066049475,214420385,,1.22E+13,1.46E+14,228190273,,,-0.332218528,0.250855356,0.183348969,-0.164097369,0.171953663,0.168997228,9.48E+11,,25.42675817,49.84353665,,,65.3
2024,Brazil,,8694667841,,,106790403,,,,,,,,,,,,,,,,,,,,1.36E+12,,32.74014261,46.8026263,,,53.2
2022,Albania,1.7E+12,886411,0.806,4.37E+13,1389262,1107.395392,98,63,239,2777689,9.861574155,163589531,4.67E+12,1.29E+13,1.44E+14,229437111,,,-0.408189446,0.064540535,0.106261313,-0.165585101,0.159353822,0.141740188,8.51E+11,1.80411929,24.44116124,47.68816478,,,66.6
1978,Afghanistan,,,,,,,,2,,13611441,,,,,,,,,,,,,,,20106708079,,,,,,
2021,Albania,1.62E+12,6384226,0.794,4.41E+13,1367734,988.0263161,92,60,241,2811666,3.444398809,114601006,4.9E+12,1.09E+13,1.22E+14,222965114,,23,-0.577179968,-0.035985023,0.196371928,-0.28071627,0.175859392,0.085588962,8.86E+11,1.737090142,28.0253608,49.9299182,,,65.2
2024,Brunei Darussalam,,,,,233520,,,,,,,,,,,,,,,,,,,,15204213466,,22.76951315,41.77622491,,,65.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,39.62,47.43746032,,,66.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,14.61,47.43746032,,,66.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,27.12,47.43746032,,,66.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,39.62,47.43746032,,,66.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,39.62,47.43746032,,,66.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,14.61,47.43746032,,,66.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,27.12,47.43746032,,,66.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,39.62,47.43746032,,,66.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,39.62,47.43746032,,,66.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,14.61,47.43746032,,,66.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,27.12,47.43746032,,,66.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,39.62,47.43746032,,,66.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,39.62,47.43746032,,,66.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,14.61,47.43746032,,,66.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,27.12,47.43746032,,,66.9
2020,Albania,1.49E+12,3810240,0.794,3.75E+13,1352399,884.8250911,91,62,167,2837849,0.041064997,82596608,4.98E+12,1.05E+13,8.87E+13,204892698,,,-0.57353878,-0.155121222,0.088612519,-0.378028214,0.221967235,0.086325444,7.47E+11,1.434888238,39.62,47.43746032,,,66.9
1979,Afghanistan,,,,,,,,2,,13655567,,,,,,,,,,,,,,,21915226509,,,,,,
2019,Albania,1.54E+12,1753201,0.805,3.79E+13,1415825,767.2927285,92,61,203,2854191,1.000590838,108058262,6.03E+12,1.19E+13,1.16E+14,195797503,,4,-0.564274073,-0.062300701,0.110105053,-0.426317364,0.272065461,0.141965285,6.91E+11,1.547011502,30.34,44.96684967,,,66.5
1980,Afghanistan,,,,,,,,,,13169311,,,,,,,,,,,,,,,39353160286,,,,,,
2018,Albania,1.51E+12,591718,0.801,3.91E+13,1393620,526.0998557,94,56,171,2866376,2.966523656,80746259,4.76E+12,1.18E+13,1.14E+14,187460990,,15,-0.546018898,0.080524534,0.366779268,-0.414752036,0.256079823,0.188786596,6.81E+11,1.53251285,29.98,45.30686411,,,64.5
1981,Afghanistan,,,,,,,,,,11937581,,,,,,,,,,,,,,,44336215668,,,,,,
2017,Albania,1.45E+12,1118611,0.798,3.56E+13,1363232,443.0203758,126,58,133,2873457,1.450731581,98718673,5.24E+12,1.14E+13,1.13E+14,179303717,,16,-0.48138684,0.098552845,0.373770744,-0.414191574,0.220610321,0.203885168,6.54E+11,1.523164301,28.86,46.59642982,,,64.4
1982,Afghanistan,,,,,,,,2,,10991378,,,,,,,,,,,,,,,39505806723,,,,,,
2016,Albania,1.4E+12,10199913,0.797,3.41E+13,1341701,144.6402612,117,58,165,2876101,-0.632653419,125847930,5.55E+12,1.23E+13,1.05E+14,171415620,,20,-0.472373724,0.029082362,0.337447882,-0.322631985,0.186607629,0.171097502,6.56E+11,1.365094846,28.38,43.8,,,65.9
2016,Albania,1.4E+12,10199913,0.797,3.41E+13,1341701,144.6402612,117,58,165,2876101,-0.632653419,125847930,5.55E+12,1.23E+13,1.05E+14,171415620,,20,-0.472373724,0.029082362,0.337447882,-0.322631985,0.186607629,0.171097502,6.56E+11,1.365094846,28.38,44.2,,,65.9
2016,Albania,1.4E+12,10199913,0.797,3.41E+13,1341701,144.6402612,117,58,165,2876101,-0.632653419,125847930,5.55E+12,1.23E+13,1.05E+14,171415620,,20,-0.472373724,0.029082362,0.337447882,-0.322631985,0.186607629,0.171097502,6.56E+11,1.365094846,28.38,43.8,,,65.9
2016,Albania,1.4E+12,10199913,0.797,3.41E+13,1341701,144.6402612,117,58,165,2876101,-0.632653419,125847930,5.55E+12,1.23E+13,1.05E+14,171415620,,20,-0.472373724,0.029082362,0.337447882,-0.322631985,0.186607629,0.171097502,6.56E+11,1.365094846,28.38,44.2,,,65.9
1983,Afghanistan,,,,,,,,,,10917982,,,,,,,,,,,,,,,,,,,,,
2015,Albania,1.35E+12,16607486,0.797,3.3E+13,1295052,68.38608492,118,62,159,2880703,0.56399135,112051530,4.64E+12,1.17E+13,9.69E+13,163912001,,14,-0.545140803,0.027575254,0.341639042,-0.3196868,0.174237311,0.157135263,6.15E+11,1.304690125,30.74,39.9,,,65.7
1984,Afghanistan,,,,,,,,,,11190221,,,,,,,,,,,,,,,25661528058,,,,,,
2014,Albania,1.33E+12,1960836,0.797,3.21E+13,1244156,52.26533901,116,66,154,2889104,1.54991707,164437356,4.28E+12,1.16E+13,1E+14,156878347,,10,-0.586571813,-0.04977081,0.485986233,-0.311199099,0.279037684,0.143689781,5.24E+11,1.124702035,30.47,39.6,,,66.9
1985,Afghanistan,,,,,,,,,,11426852,,,,,,,,,,,,,,,22136334741,,,,,,
2013,Albania,1.3E+12,10843586,0.793,3.39E+13,1217163,35.57745315,128,64,149,2895092,0.288745964,183086084,4.6E+12,1.28E+13,9.86E+13,149965766,,,-0.751372695,-0.324457377,0.091929786,-0.518828869,0.254160255,0.048864443,4.79E+11,1.067844857,30.85,46.4,,,65.2
1986,Afghanistan,,,,,,,,2,,11420074,,,,,,,,,,,,,,,17763152851,,,,,,
2012,Albania,1.29E+12,10014580,0.79,3.42E+13,1317638,25.51371345,121,59,151,2900401,1.042714606,156040982,4.27E+12,9.61E+12,9.87E+13,143279809,,,-0.778729439,-0.268925011,-0.143631592,-0.519839764,0.240491986,0.022064038,4.51E+11,0.955374004,30.4,43.3,,,65.1
1987,Afghanistan,,,,,,,,2,,11387818,,,,,,,,,,,,,,,25090907314,,,,,,
2011,Albania,1.27E+12,11890517,0.781,3.73E+13,1376922,8.261063371,107,49,141,2905195,2.314743797,108251150,4.11E+12,1.03E+13,1.03E+14,136544165,,3,-0.701794147,-0.202177078,-0.282379419,-0.442926466,0.283972561,0.062333763,3.89E+11,0.938847467,30.45,,,,64
1988,Afghanistan,,,,,,,,,,11523298,,,,,,,,,,,,,,,25678118192,,,,,,
2010,Albania,1.24E+12,14074208,0.769,3.53E+13,1259163,4.119434772,92,43,125,2913021,4.4931432,106284123,4.23E+12,1.13E+13,9.49E+13,131085945,,,-0.531616509,-0.279453218,-0.191482902,-0.385760486,0.233281955,0.123838224,3.39E+11,1.063364939,,,,,66
1989,Afghanistan,,,,,,,,,,11874088,,,,,,,,,,,,,,,20202349520,,,,,,
2009,Albania,1.2E+12,10128936,0.756,3.93E+13,1247208,,84,33,69,2927519,2.418336059,161291707,,1.34E+13,9.01E+13,120613783,,,-0.54527092,-0.25594148,-0.045140512,-0.494370162,0.241446003,0.141477332,2.44E+11,1.04360056,,,,,63.7
1990,Afghanistan,,,0.285,,2978278,,,2,,12045660,,,,,,,,,,,,,,,3856896160,,,,,,
2008,Albania,1.16E+12,,0.749,3.94E+13,1201455,,63,32,52,2947314,4.117085426,163488343,4.07E+12,1.12E+13,8.98E+13,70440805,1.79E+11,,-0.60521239,-0.367063493,-0.030500913,-0.600079298,0.137666509,0.174939081,2.07E+11,1.535054672,,,,,62.4
1991,Afghanistan,,,0.291,,3012953,,,,,12238879,,,,,,,,,,,,,,,,,,,,,
2007,Albania,1.08E+12,,0.742,3.93E+13,1222005,,78,30,42,2970017,4.386709383,70430000,3.54E+12,6.6E+12,8.99E+13,44550255,94575596760,,-0.706940055,-0.427722543,-0.203974649,-0.661545992,0.034550302,0.113008469,2.32E+11,1.112055995,,,,,61.4
1992,Afghanistan,,,0.301,,3252403,,,,,13278974,,,,,,,,,,,,,,,,,,,,,
2006,Albania,1.02E+12,,0.732,3.88E+13,1241897,,64,26,26,2992547,2.478188887,53794734,3.26E+12,3.73E+12,7.58E+13,28758377,,,-0.790545285,-0.580952644,-0.508157313,-0.703135848,-0.148599386,0.07588996,2.33E+11,0.724698831,,,,,60.3
1993,Afghanistan,,,0.311,,3639934,,,,,14943172,,,,,,,,,,,,,,,,,,,,,
2005,Albania,9.59E+11,,0.723,3.64E+13,1259700,,50,22,26,3011487,3.306818147,74350368,3.15E+12,3.13E+12,6.8E+13,18189381,,,-0.813263893,-0.696387231,-0.505047977,-0.763833165,-0.400731236,0.003671788,2.11E+11,,,,,,57.8
1994,Afghanistan,,,0.305,,3933565,,,,,16250794,,,,,,,,,,,,,,,,,,,,,
2004,Albania,9.08E+11,,0.71,3.43E+13,1275726,,41,19,18,3026939,3.152368925,75511154,2.93E+12,4.31E+12,6.09E+13,7325192,,,-0.723731816,-0.408371657,-0.427259684,-0.701032341,-0.187491566,0.007237499,1.89E+11,,,,,,58.5
2003,Albania,8.61E+11,,0.705,3.09E+13,1290479,,36,16,23,3039616,5.198635303,49106937,2.7E+12,2.73E+12,5.77E+13,2954507,,,-0.853786588,-0.563986719,-0.30978024,-0.716323495,-0.490216553,0.070307687,1.62E+11,,,,,,56.8
2002,Albania,8.16E+11,,0.697,2.94E+13,1304298,,27,16,25,3051010,3.647476271,32940000,2.54E+12,2.53E+12,5.59E+13,1189894,,,-0.845340908,-0.624333382,-0.297719181,-0.762321413,-0.311400771,-0.00815021,1.64E+11,,,,,,56.8
2001,Albania,7.8E+11,,0.691,2.86E+13,1300522,,12,,18,3060173,3.810857374,31200000,2.7E+12,4.12E+12,5.19E+13,997616,,,,,,,,,1.57E+11,,,,,,56.6
2024,Bhutan,,,,,406457,,,,,,,,,,,,,,,,,,,,89237385355,,,45.87723738,,,55.4
2000,Albania,7.21E+11,,0.682,2.3E+13,1313953,,1,,22,3089027,5.647471468,20900000,2.47E+12,2.96E+12,4.58E+13,352149,,,-0.855563641,-0.917780161,-0.539989591,-1.020667672,-0.415910125,-0.285138667,1.3E+11,,,,,,53.6
1999,Albania,6.74E+11,,0.671,1.59E+13,1324627,,0,15,24,3108778,2.102849989,25600000,2.42E+12,8.65E+11,3.44E+13,253055,,,,,,,,,1E+11,,,,,,53.4
1998,Albania,5.97E+11,,0.659,1.28E+13,1344507,,0,13,32,3128530,6.730859905,15110000,2.11E+12,1.06E+12,2.87E+13,203354,,,-0.992024779,-0.732602537,-0.544004202,-0.929671705,-0.441555828,-0.387372851,83030726075,,,,,,53.9
1997,Albania,5.48E+11,,0.645,1.1E+13,1360459,,0,13,27,3148281,11.23964448,11400000,1.85E+12,1.15E+12,2.49E+13,153006,,,,,,,,,68297294555,,,,,,54.8
1996,Albania,6.16E+11,,0.647,1.34E+13,1345509,,0,11,37,3168033,38.1720582,11000000,1.9E+12,1.73E+12,2.77E+13,102011,,,-0.893903494,-0.688587904,-0.336625129,-0.6844818,-0.474401653,-0.648297846,54424371563,,,,,,53.8
1995,Albania,5.64E+11,,0.638,1.2E+13,1363787,,,10,,3187784,9.970662679,7900000,2.15E+12,1.65E+12,2.69E+13,35703,,,,,,,,,35443315096,,,,,,49.7
2025,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5
2024,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.10611585,,,
2023,Algeria,8.73E+12,,0.763,2.86E+14,13174228,100.2941261,,56,,46164219,0.854841037,85795824,4.9E+13,4.29E+12,3.81E+14,3550028441,,,-0.589308321,-0.67013514,-0.57788527,-0.678364396,-0.948087156,-0.97988379,8.9E+12,,16.11548391,37.82654922,,,43.2
